id,link,bedrooms,bathrooms,area_m2,price,date,condition,location,latitude,longitude
P1753731288_20,https://www.fincaraiz.com.co/casa-en-venta-en-cucuta/192159315,3,3,248,1.100.000.000,2025-07-28 14:34:48.647055,Usado,"Cúcuta, Norte de santander",7.8628233521409,-72.466083166364
P1753731298_0,https://www.fincaraiz.com.co/casa-en-venta-en-paramo-cucuta/192314306,5,5,218,330.000.000,2025-07-28 14:34:58.619910,Usado,"Paramo, Cúcuta, Norte de santander",7.87970199151,-72.504674909871
P1753731300_1,https://www.fincaraiz.com.co/casa-en-venta-en-la-riviera-cucuta/192213798,5,4,244,800.000.000,2025-07-28 14:35:00.976145,Usado,"La riviera, Cúcuta, Norte de santander",7.891604,-72.492733
P1753731303_2,https://www.fincaraiz.com.co/casa-en-venta-en-quinta-velez-cucuta/192213380,4,5,322,1.100.000.000,2025-07-28 14:35:03.419505,Usado,"Quinta velez, Cúcuta, Norte de santander",7.883823,-72.496451
P1753731306_3,https://www.fincaraiz.com.co/casa-en-venta-en-blanco-cucuta/192159314,6,4,450,500.000.000,2025-07-28 14:35:06.116480,Usado,"Blanco, Cúcuta, Norte de santander",7.877837776711,-72.498113457112
P1753731308_4,https://www.fincaraiz.com.co/casa-en-venta-en-paramo-cucuta/192159611,10,8,520,450.000.000,2025-07-28 14:35:08.970361,Usado,"Paramo, Cúcuta, Norte de santander",7.88167,-72.50665
P1753731311_5,https://www.fincaraiz.com.co/casa-en-venta-en-latino-cucuta/192159887,4,4,372,750.000.000,2025-07-28 14:35:11.641582,Usado,"Latino, Cúcuta, Norte de santander",7.8890971,-72.4966896
P1753731314_6,https://www.fincaraiz.com.co/casa-en-venta-en-cucuta/192159895,3,4,188,700.000.000,2025-07-28 14:35:14.432293,Usado,"Cúcuta, Norte de santander",7.8890971,-72.4966896
P1753731316_7,https://www.fincaraiz.com.co/casa-en-venta-en-la-ceiba-cucuta/192159056,3,3,136,380.000.000,2025-07-28 14:35:16.567853,Usado,"La ceiba, Cúcuta, Norte de santander",7.9073382836366,-72.497174262935
P1753731319_8,https://www.fincaraiz.com.co/casa-en-venta-en-cundinamarca-cucuta/192158404,3,2,168,300.000.000,2025-07-28 14:35:19.015898,Usado,"Cundinamarca, Cúcuta, Norte de santander",7.885851716977,-72.518283044145
P1753731320_9,https://www.fincaraiz.com.co/casa-en-venta-en-sector-oriental-cucuta/192158519,3,4,126,450.000.000,2025-07-28 14:35:20.952592,Usado,"Sector oriental, Cúcuta, Norte de santander",7.9309550362968,-72.490515288773
P1753731323_10,https://www.fincaraiz.com.co/casa-en-venta-en-san-jose-de-cucuta-cucuta/192159140,3,1,93,120.000.000,2025-07-28 14:35:23.303465,Usado,"San jose de cucuta, Cúcuta, Norte de santander",7.8977272715348,-72.46904566884
